Company name:,Ripple Labs Singapore,,,,,,,,,,,,,,,,
Report name:,Invoice Detail Report with XRP,,,,,,,,,,,,,,,,
Created on:,6/15/2023,,,,,,,,,,,,,,,,
Location:,310_RSG--Ripple Labs Singapore,,,,,,,,,,,,,,,,
Date,Customer name,Customer_ID,Invoice number,Line number,Item_ID,Item description,Memo,Quantity,Transaction currency,Transaction price,Extended price-txn curr,Total transaction amount,Base currency,Price,Extended price-base curr,Total amount,Location_ID
6/8/2023,Taasai FS Ltd,CUS000534,INV006007,1,Payment Service Fee,Late Payment Charge,Section 2(c) of the Master XRP Commitment to Sell Agreement signed 08/15/2022,1.00,USD,"1,416.67","1,416.67","1,416.67",SGD,"1,909.81","1,909.81","1,909.81",310_RSG
6/8/2023,Lulu Financial Services (Phils) Inc.,CUS000507,INV006006,1,Payment Service Fee,Late Payment Charge,Section 2(c) of the Master XRP Commitment to Sell Agreement signed 04/13/2022,1.00,USD,"1,386.16","1,386.16","1,386.16",SGD,"1,868.68","1,868.68","1,868.68",310_RSG
6/2/2023,Taasai FS Ltd,CUS000534,INV005962,1,Payment Service Fee,Late Payment Charge,Section 2(c) of the Master XRP Commitment to Sell Agreement signed 08/15/2022,1.00,USD,"1,316.67","1,316.67","1,316.67",SGD,"1,777.90","1,777.90","1,777.90",310_RSG
6/14/2023,Remittance Finance Corporation Limited,CUS000456,INV006051,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"4,412.29",USD,0.45,"2,000.00","2,004.00",SGD,0.61,"2,683.40","2,688.77",310_RSG
6/14/2023,Remittance Finance Corporation Limited,CUS000456,INV006051,2,ODL Commission Fees,ODL Commission Fees,ODL Commission Fees,"2,000.00",USD,0.00,4.00,"2,004.00",SGD,0.00,5.37,"2,688.77",310_RSG
6/7/2023,BC Remittance Limited,CUS000323,CM000642,1,63500,Bank Service Charges,Bank Swift Charges Reimbursement,1.00,GBP,373.20,373.20,-373.20,SGD,625.52,625.52,-625.52,310_RSG
6/6/2023,Lulu Financial Services (Phils) Inc.,CUS000507,CM000641,1,Wallet Send Transactions,Wallet Send Transactions-XRP,Credit for USD amount of XRP,"19,645.46",USD,0.51,"9,974.00","-9,993.95",SGD,0.69,"13,472.88","-13,499.83",310_RSG
6/6/2023,Lulu Financial Services (Phils) Inc.,CUS000507,CM000641,2,On Demand Liquidity,On Demand Liquidity-XRP,Credit for ODL Service Fee,"9,974.00",USD,0.00,19.95,"-9,993.95",SGD,0.00,26.95,"-13,499.83",310_RSG
6/6/2023,"PMI Americas, S.A. de C.V.",CUS000430,INV006004,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"1,583.43",USD,0.52,817.55,817.55,SGD,0.70,"1,104.35","1,104.35",310_RSG
6/6/2023,Remittance Finance Corporation Limited,CUS000456,CM000640,1,Wallet Send Transactions,Wallet Send Transactions-XRP,USD amount of XRP,"11,917.00",USD,0.52,"6,250.00","-6,262.50",SGD,0.71,"8,442.50","-8,459.39",310_RSG
